ESTACAO,DATA (YYYY-MM-DD),rain_max,rad_max,temp_avg,temp_max,temp_min,hum_max,hum_min,wind_max,wind_avg
A001,2020-01-01,0.2,2426.5,21.1625,25.2,18.7,94.0,56.0,8.9,1.5166667
A001,2020-01-02,0.0,2899.6,21.879168,27.1,19.1,92.0,54.0,8.0,2.7833333
A001,2020-01-03,15.0,2925.5,21.395834,27.6,18.3,95.0,55.0,10.8,2.625
A001,2020-01-04,6.0,2925.8,20.3,25.2,18.8,95.0,65.0,13.0,3.4375
A001,2020-01-05,10.6,1564.2,19.120832,23.0,17.4,96.0,79.0,9.0,2.1333334
A001,2020-01-06,0.6,2474.7,20.795834,25.6,18.3,95.0,63.0,12.9,3.7583334
A001,2020-01-07,0.0,3848.6,22.125,27.8,18.9,92.0,56.0,8.4,2.8875
A001,2020-01-08,1.6,2577.4,22.429167,27.3,19.4,95.0,54.0,6.4,1.7958333
A001,2020-01-09,5.6,3422.3,21.345833,27.2,18.1,95.0,59.0,12.6,1.5416666
A001,2020-01-10,0.2,3866.6,22.766666,29.9,17.8,96.0,43.0,7.0,1.925
A001,2020-01-11,0.6,4162.8,24.433332,29.9,18.6,95.0,29.0,8.2,1.8541666
A001,2020-01-12,0.0,3889.5,24.2125,31.3,17.1,93.0,26.0,6.7,1.3208333
A001,2020-01-13,0.0,4094.5,24.458334,31.0,17.9,87.0,27.0,8.0,1.6958333
A001,2020-01-14,0.0,3550.0,24.9625,30.9,18.9,89.0,29.0,8.1,1.9541667
A001,2020-01-15,0.0,3485.8,25.008333,30.9,18.7,88.0,31.0,7.5,2.0333333
A001,2020-01-16,0.0,3747.6,25.5125,30.9,20.5,82.0,35.0,7.7,1.9833333
A001,2020-01-17,0.8,3204.8,24.05,29.6,19.4,88.0,45.0,9.4,1.9875
A001,2020-01-18,0.4,1936.3,21.633333,26.7,18.1,94.0,62.0,8.8,2.0875
A001,2020-01-19,0.0,3627.3,23.820833,30.7,17.9,95.0,40.0,9.3,1.8041667
A001,2020-01-20,3.4,2815.4,23.225,29.6,19.4,94.0,43.0,7.3,1.7916666
A001,2020-01-21,8.8,3316.4,22.025,27.7,19.9,93.0,57.0,12.3,2.5833333
A001,2020-01-22,0.6,1568.0,20.395834,24.1,19.4,94.0,72.0,9.2,2.9875
A001,2020-01-23,3.0,2504.1,20.541666,25.0,18.8,95.0,68.0,10.7,3.5708334
A001,2020-01-24,4.2,2192.6,20.125,23.7,19.0,95.0,74.0,15.3,4.3375
A001,2020-01-25,8.8,1576.6,19.9875,22.9,18.8,95.0,77.0,12.6,4.0916667
A001,2020-01-26,37.6,2525.8,20.195833,25.1,18.6,96.0,72.0,9.4,2.4958334
A001,2020-01-27,7.8,3014.3,20.883333,27.3,18.6,96.0,57.0,11.6,2.3916667
A001,2020-01-28,2.4,3698.9,20.754168,26.3,18.4,94.0,59.0,11.1,3.2833333
A001,2020-01-29,0.2,3528.7,22.166666,27.8,18.3,94.0,45.0,8.1,1.9041667
A001,2020-01-30,0.0,3522.4,22.933332,30.5,18.4,94.0,43.0,6.7,1.4833333
A001,2020-01-31,0.0,4148.4,23.9625,30.4,18.7,93.0,36.0,7.3,1.8416667
A001,2020-02-01,0.0,3414.5,23.825,30.4,17.5,95.0,32.0,6.9,1.4833333
A001,2020-02-02,0.0,3593.4,24.15,30.0,19.0,94.0,38.0,7.5,2.0125
A001,2020-02-03,3.4,3566.3,23.841667,30.3,17.9,94.0,36.0,10.1,2.0916667
A001,2020-02-04,15.6,3730.8,21.591667,27.7,18.5,95.0,51.0,13.4,2.1583333
A001,2020-02-05,0.0,3144.4,22.25,29.4,17.6,94.0,43.0,7.1,1.7375
A001,2020-02-06,9.2,2563.1,20.420834,25.5,18.5,95.0,62.0,7.1,1.7875
A001,2020-02-07,5.2,1243.0,18.779167,21.1,16.6,95.0,81.0,12.4,3.5625
A001,2020-02-08,6.4,1320.7,18.604166,20.9,17.6,96.0,86.0,10.0,3.1083333
A001,2020-02-09,3.6,2813.9,19.104166,22.1,16.8,95.0,73.0,12.0,4.1583333
A001,2020-02-10,0.4,3728.0,21.0875,29.3,17.6,95.0,40.0,10.6,2.825
A001,2020-02-11,0.8,3372.7,21.770834,28.7,18.3,95.0,48.0,10.0,1.1666666
A001,2020-02-12,2.4,3162.7,21.7625,26.2,18.5,95.0,62.0,8.3,1.8208333
A001,2020-02-13,0.8,3384.0,21.475,28.2,18.4,95.0,45.0,8.3,1.9458333
A001,2020-02-14,3.4,2841.4,22.020834,28.6,18.7,93.0,48.0,4.6,1.2916666
A001,2020-02-15,0.8,2685.8,21.883333,28.5,17.1,95.0,50.0,8.3,1.6833333
A001,2020-02-16,0.0,3904.4,22.620832,29.6,18.5,94.0,47.0,9.5,1.6125
A001,2020-02-17,0.0,4205.3,23.2375,28.9,19.5,93.0,42.0,9.3,2.25
A001,2020-02-18,0.0,3270.5,23.316668,27.7,19.3,90.0,46.0,7.7,1.9125
A001,2020-02-19,3.0,3590.6,23.2625,28.4,19.8,93.0,48.0,8.8,1.8375
A001,2020-02-20,1.0,3543.1,22.241667,28.5,18.8,95.0,48.0,8.8,1.9708333
A001,2020-02-21,16.0,3756.0,22.095833,28.6,16.7,95.0,47.0,10.9,1.9666667
A001,2020-02-22,3.6,2880.5,22.491667,27.3,18.4,94.0,54.0,10.7,1.2416667
A001,2020-02-23,0.2,2563.7,21.804167,26.3,19.0,94.0,52.0,6.5,1.4875
A001,2020-02-24,9.6,2659.1,20.55,25.8,18.7,95.0,62.0,8.3,1.2958333
A001,2020-02-25,0.2,3201.5,21.183332,27.0,18.5,96.0,56.0,8.1,1.5958333
A001,2020-02-26,1.4,3007.5,21.170834,27.5,18.6,95.0,57.0,12.9,1.575
A001,2020-02-27,0.0,3596.5,22.6875,29.6,17.3,96.0,45.0,10.4,2.1125
A001,2020-02-28,5.8,2728.1,21.558332,27.4,19.6,94.0,59.0,10.2,1.4541667
A001,2020-02-29,3.2,2715.5,20.2375,24.3,17.2,96.0,69.0,6.3,1.35
A001,2020-03-01,2.8,2779.2,21.05,26.5,17.1,95.0,52.0,9.0,1.3833333
A001,2020-03-02,4.8,2777.8,21.458334,26.9,19.5,94.0,58.0,7.5,1.7541667
A001,2020-03-03,15.4,3638.9,21.479166,27.1,17.9,96.0,56.0,7.6,1.9625
A001,2020-03-04,0.0,2777.3,22.104166,28.2,17.9,96.0,52.0,8.0,2.0
A001,2020-03-05,8.8,3392.4,21.3375,26.3,19.3,94.0,60.0,7.6,1.5208334
A001,2020-03-06,10.0,1291.1,19.3,21.6,17.4,96.0,83.0,7.8,2.0958333
A001,2020-03-07,4.0,2547.8,20.279167,25.4,18.3,96.0,67.0,6.5,1.6458334
A001,2020-03-08,0.4,3637.4,21.575,27.2,18.1,96.0,50.0,7.8,1.55
A001,2020-03-09,19.6,2310.4,21.795834,25.6,18.8,95.0,57.0,10.8,1.7791667
A001,2020-03-10,0.0,3429.3,22.854166,28.0,19.4,92.0,51.0,8.4,2.7583334
A001,2020-03-11,0.0,2629.4,22.445833,27.6,19.3,91.0,48.0,8.2,2.4916666
A001,2020-03-12,0.0,3594.3,21.875,26.8,19.5,94.0,58.0,9.2,2.1083333
A001,2020-03-13,0.0,3527.0,22.5625,27.4,19.2,93.0,54.0,9.2,2.6416667
A001,2020-03-14,0.0,2925.3,22.970833,28.2,19.7,86.0,50.0,8.2,2.9333334
A001,2020-03-15,0.0,3296.6,22.695833,27.6,19.7,84.0,43.0,9.3,2.9916666
A001,2020-03-16,0.0,3423.5,21.458334,27.5,15.4,95.0,41.0,8.5,1.5625
A001,2020-03-17,0.0,2891.2,21.779167,28.6,16.3,94.0,45.0,6.9,1.4208333
A001,2020-03-18,0.0,3821.7,23.575,30.2,18.2,94.0,33.0,6.7,1.1708333
A001,2020-03-19,0.0,3618.7,23.104166,29.5,18.1,93.0,44.0,7.3,1.5125
A001,2020-03-20,22.6,3098.2,21.595833,27.3,18.1,95.0,58.0,9.9,2.5791667
A001,2020-03-21,0.2,2930.3,21.333334,26.1,19.0,95.0,59.0,8.9,2.9208333
A001,2020-03-22,11.8,3536.4,21.354166,27.2,18.5,96.0,55.0,10.4,2.1416667
A001,2020-03-23,3.0,2624.7,21.516666,26.3,19.3,96.0,65.0,6.0,1.2125
A001,2020-03-24,7.2,1764.0,19.895834,23.6,18.5,96.0,69.0,7.9,2.4666667
A001,2020-03-25,12.2,1795.6,19.741667,25.3,18.0,96.0,66.0,9.9,2.6166666
A001,2020-03-26,9.4,2895.7,19.495832,25.1,18.2,96.0,65.0,7.4,2.3583333
